slug,title,word_count,under_400_words,generic_phrases,generic_phrase_count,templated_opening_shared_with_n,missing_image,is_illustration_not_photo,duplicate_image_with,cuisine,category
kamounia,Kamounia,519,,,0,,,yes,,Tunisian,Dinner
ploughmans-lunch,Ploughman's Lunch,519,,,0,,,,,British,Lunch
qatayef,Qatayef Mahshi,519,,,0,,,yes,,Egyptian,Desserts
roz-bel-laban,Roz bel Laban,519,,,0,,,yes,,Egyptian,Desserts
toast-skagen,Toast Skagen,519,,,0,,,,,Swedish,Appetizers
agua-de-jamaica,Agua de Jamaica,520,,,0,,,,,Mexican,Drinks
bircher-muesli,Bircher Muesli,520,,,0,,,,,Swiss,Breakfast
bratwurst,Bratwurst with Sauerkraut,520,,,0,,,,,German,Dinner
parkin,Yorkshire Parkin,520,,,0,,,,,British,Baking
pasta-e-ceci,Pasta e Ceci,520,,,0,,,,,Italian,Lunch
torly,Torly,520,,,0,,,,,Egyptian,Dinner
truffade,Truffade,520,,,0,,,,,French,Dinner
dobos-torte,Dobos Torte,521,,,0,,,yes,,Hungarian,Desserts
felfel-mahchi,Felfel Mahchi,521,,,0,,,,,Tunisian,Dinner
olivier-salad,Olivier Salad,521,,,0,,,,,Russian,Holiday Specials
salade-omek-houria,Omek Houria,521,,,0,,,yes,,Tunisian,Appetizers
kaiserschmarrn,Kaiserschmarrn,522,,,0,,,,,Austrian,Desserts
banh-cuon,Bánh Cuốn,523,,,0,,,,,Vietnamese,Breakfast
champ,Champ,523,,,0,,,,,Irish,Dinner
rasam,Rasam,523,,,0,,,yes,,Indian,Lunch
tarte-flambee,Tarte Flambée,523,,,0,,,,,French,Dinner
chicken-fajitas,Chicken Fajitas,524,,,0,,,,,Mexican,Dinner
creme-caramel,Crème Caramel,524,,,0,,,,,French,Desserts
krumkake,Krumkake,524,,,0,,,,,Norwegian,Desserts
pineapple-bun,Pineapple Bun,524,,,0,,,,,Chinese,Baking
samosa-chaat,Samosa Chaat,524,,,0,,,,,Indian,Appetizers
samsa-tunisienne,Samsa,524,,,0,,,yes,,Tunisian,Desserts
zapiekanka,Zapiekanka,524,,,0,,,,,Polish,Quick Meals
cucumber-sandwiches,Cucumber Sandwiches,525,,,0,,,,,British,Lunch
insalata-di-mare,Insalata di Mare,525,,,0,,,,,Italian,Appetizers
lemonade,Fresh Lemonade,525,,,0,,,,,American,Drinks
ojingeo-bokkeum,Ojingeo Bokkeum,525,,,0,,,yes,,Korean,Dinner
po-boy,Shrimp Po Boy,525,,,0,,,yes,,American,Lunch
sujeonggwa,Sujeonggwa,525,,,0,,,,,Korean,Drinks
biscotti,Almond Biscotti,526,,,0,,,,,Italian,Baking
dubu-jorim,Dubu Jorim,526,,,0,,,yes,,Korean,Dinner
jam-roly-poly,Jam Roly-Poly,526,,,0,,,,,British,Desserts
malloreddus,Malloreddus alla Campidanese,526,,,0,,,yes,,Italian,Dinner
mansaf,Mansaf,526,,,0,,,yes,,Middle Eastern,Dinner
om-ali,Om Ali,526,,,0,,,,,Egyptian,Desserts
shortbread,Scottish Shortbread,526,,,0,,,,,British,Baking
bagna-cauda,Bagna Cauda,527,,,0,,,,,Italian,Appetizers
elote,Elote — Mexican Street Corn,527,,,0,,,,,Mexican,Appetizers
kouign-amann,Kouign-Amann,527,,,0,,,,,French,Baking
minestrone,Minestrone,527,,,0,,,,,Italian,Lunch
shorbet-ads,Shorbet Ads,527,,,0,,,,,Egyptian,Lunch
treacle-sponge,Treacle Sponge Pudding,527,,,0,,,,,British,Desserts
